"id","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019","y_2021"
347,0.2,0.12,,0.15,,,0.12
348,0.86,0.89,0.86,0.89,0.81,0.87,1.04
349,0.71,0.62,0.71,0.44,0.21,0.16,0.19
350,0.39,0.35,0.34,0.42,0.34,0.36,0.37
351,0.37,0.39,0.36,0.33,0.23,0.29,0.47
352,0.79,0.87,0.94,0.9,0.89,1.06,1.05
353,0.84,0.79,0.83,0.83,0.73,0.63,0.82
354,0.14,0.15,0.17,0.26,0.24,0.26,0.23
355,0.43,0.36,0.52,0.5,0.61,0.68,0.73
356,1.61,1.71,1.7,1.84,1.41,1.28,1.59
357,0.5,0.46,0.44,0.45,0.36,0.37,0.36
358,0.89,0.95,1.03,1.02,0.8,0.83,0.61
359,0.51,0.4,0.41,0.35,0.66,0.55,0.26
360,1.2,1.17,1.31,1.53,1.27,1.37,1.63
361,0.34,0.37,0.49,0.4,0.36,0.36,
362,1.04,0.96,1.03,1.05,0.79,0.82,0.96
363,0.83,0.87,0.89,0.91,0.96,0.82,0.67
364,0.28,0.24,0.32,0.4,0.3,0.32,0.28
365,0.26,0.35,0.25,0.16,0.17,0.17,0.24
366,0.14,0.12,0.18,0.17,0.19,,0.09
367,0.6,0.65,0.84,0.74,0.54,0.33,0.44
368,0.86,0.88,0.99,0.98,0.91,0.95,0.79
369,0.6,0.55,0.54,0.49,0.58,0.51,0.2
370,1.35,1.58,1.59,1.43,1.08,1.03,0.82
371,2.07,2.07,2.25,2.48,2.04,2.08,2.93
372,4.09,3.65,3.47,3.6,3.12,3.25,2.94
373,0.26,0.28,0.27,0.25,0.35,0.37,0.26
374,0.76,0.71,0.82,0.68,0.65,0.83,0.7
375,0.5,0.45,0.39,0.37,0.42,0.4,0.37
376,1.03,0.96,1.01,0.99,0.95,0.99,1.08
377,1.51,1.47,1.53,1.51,1.45,1.25,1.1
378,0.54,0.57,0.55,0.59,0.44,0.42,0.63
379,1.65,1.62,1.77,1.73,1.45,1.37,1.36
380,2.11,2.16,2.11,2.08,1.66,1.46,1.73
381,0.47,0.39,0.46,0.33,0.34,0.28,0.37
382,0.39,0.49,0.56,0.54,0.61,0.5,0.41
383,1.44,1.29,1.5,1.45,1.59,1.56,1.42
385,2.03,2.04,1.9,1.87,1.85,1.93,1.72
386,0.44,0.37,0.27,0.17,0.12,,0.12
387,1.02,1.07,1.1,1.18,1.16,1.26,0.97
388,0.29,0.39,0.33,0.47,0.34,0.31,0.21
389,2.72,3.1,3.3,2.69,1.84,2.03,2.1
390,0.19,0.21,0.26,0.25,0.21,0.13,0.24
391,0.25,0.27,0.37,0.42,0.37,0.35,0.38
392,1.43,1.5,1.62,1.73,1.53,1.51,1.35
393,0.85,0.73,0.57,0.55,0.86,0.97,0.73
394,0.71,0.67,0.63,0.69,0.6,0.63,0.58
395,0.33,0.41,0.4,0.54,0.39,0.27,0.29
396,0.55,0.55,0.53,0.6,0.57,0.49,0.34
397,0.18,0.18,0.23,0.25,0.16,0.23,0.34
398,0.08,0.1,0.16,0.15,0.12,0.2,0.17
399,0.5,0.46,0.44,0.49,0.4,0.34,0.42
400,1.08,1.13,1.08,1.07,0.76,0.6,0.74
401,0.65,0.56,0.64,0.75,0.66,0.71,0.73
402,0.45,0.44,0.45,0.43,0.38,0.47,0.25
403,0.64,0.69,0.76,0.87,0.74,0.71,0.59
404,0.58,0.58,0.58,0.77,0.63,0.59,0.71
405,1.26,1.17,1.29,1.42,1.27,1.22,1.51
406,0.34,0.31,0.36,0.39,0.24,0.22,0.29
407,0.59,0.51,0.54,0.48,0.46,0.48,0.34
408,0.63,0.61,0.62,0.63,0.53,0.57,0.52
409,0.54,0.47,0.56,0.63,0.52,0.38,0.53
410,0.11,0.12,0.21,,0.18,0.18,0.14
411,0.47,0.64,0.76,0.81,0.56,0.48,0.76
412,0.14,0.1,0.09,0.12,0.12,0.11,0.15
413,1.62,1.4,1.45,1.52,1.22,1.13,1.07
416,0.32,0.22,0.27,0.25,0.38,0.36,0.3
417,0.74,0.67,0.51,0.45,0.46,0.41,0.52
418,0.91,0.9,0.89,0.81,0.7,0.69,0.62
419,0.81,0.85,0.8,0.75,0.59,0.52,0.57
420,0.52,0.45,0.45,0.37,0.35,0.34,0.33
421,0.36,0.35,0.38,0.39,0.27,0.29,0.42
