"id","y_2011","y_2013","y_2015","y_2016","y_2017","y_2018","y_2019","y_2020","y_2021","y_2022"
138,1,4,0,0,0,0,0,1,0,0
139,8,7,9,9,0,4,2,0,0,0
140,19,27,12,7,0,2,3,1,0,0
141,6,3,3,2,0,0,1,0,0,0
142,12,7,8,1,2,2,1,1,2,0
143,1,0,2,0,0,0,0,0,1,0
144,4,2,5,2,0,0,0,0,0,0
145,14,12,7,4,5,5,2,0,0,0
146,9,7,14,3,4,4,1,0,0,0
147,16,15,13,12,4,4,4,3,0,0
148,0,0,2,1,0,0,0,0,0,1
149,11,4,0,1,0,0,0,0,0,0
150,16,14,14,3,0,2,2,0,0,0
151,5,6,7,1,0,0,0,0,0,0
152,6,4,3,2,0,0,1,0,0,0
153,22,14,17,3,0,3,3,4,0,0
154,14,11,10,0,0,0,1,1,0,0
155,9,13,18,7,0,4,1,0,0,0
156,31,33,43,22,0,3,6,0,0,0
157,2,3,2,0,0,0,0,0,0,0
158,34,27,26,13,0,7,2,2,0,0
159,4,6,4,1,0,0,0,0,0,0
160,9,11,20,7,0,4,0,0,0,0
161,0,0,0,0,0,0,0,0,0,0
162,20,9,13,6,1,1,2,1,0,0
163,1,2,0,0,0,0,1,0,0,0
164,3,4,6,6,0,0,0,0,0,0
165,9,10,9,3,1,1,1,1,0,0
166,8,13,11,4,0,1,1,1,0,0
167,3,1,2,0,0,1,0,0,0,0
168,6,16,5,9,0,2,2,1,0,0
169,7,3,4,3,1,1,0,0,0,0
170,1,4,0,0,0,0,0,0,0,0
171,2,2,2,0,0,0,0,0,0,0
172,5,3,3,0,0,0,1,0,0,0
173,12,8,7,5,0,2,0,0,0,0
174,12,13,11,3,2,3,0,0,0,0
175,4,1,1,0,0,0,0,1,0,0
176,3,10,3,2,0,0,0,0,0,0
177,2,5,2,1,0,0,0,0,0,0
178,0,1,0,0,0,0,0,0,0,0
179,0,2,0,1,0,0,0,0,0,0
180,4,5,4,4,2,2,0,0,0,0
181,8,5,7,4,0,0,0,0,0,0
182,2,2,5,1,0,1,0,0,0,0
183,2,3,3,0,0,0,0,0,0,0
184,2,0,2,1,1,1,0,1,0,0
185,,,,,,0,0,0,0,0
186,15,19,23,13,0,0,0,0,0,0
187,0,0,1,0,2,2,0,0,0,0
188,2,1,3,0,1,1,0,0,0,0
189,0,0,0,0,0,0,0,0,0,0
190,5,9,14,3,0,3,0,0,0,1
191,16,10,9,4,0,1,0,0,0,0
192,7,2,4,4,3,3,2,1,0,0
193,1,0,1,1,0,0,0,0,0,0
194,5,0,1,1,1,1,0,0,0,0
195,8,8,7,2,0,0,3,2,0,0
196,23,21,26,16,0,5,1,0,0,0
197,16,16,10,7,1,1,1,0,0,0
198,6,1,2,0,0,0,0,0,0,0
199,20,14,10,8,0,2,1,1,0,0
200,0,1,0,0,0,0,0,0,0,0
201,9,1,5,1,1,1,0,0,0,0
202,5,9,9,6,0,0,0,0,0,0
203,11,13,11,4,0,0,1,0,0,0
204,6,6,5,0,0,0,0,0,1,0
205,0,2,0,1,0,0,0,0,0,0
206,0,1,0,0,0,0,0,0,0,0
207,0,1,0,0,0,0,0,0,0,0
208,3,1,2,0,1,1,0,0,0,0
209,19,19,21,11,0,3,1,1,0,0
210,1,4,1,0,0,0,0,0,0,0
211,13,23,38,15,0,3,2,0,0,0
212,0,4,1,1,1,1,1,0,0,0
213,1,2,0,0,0,0,0,2,0,0
215,2,1,1,0,1,1,0,2,0,0
216,3,1,1,0,0,0,0,0,0,0
217,1,2,1,1,0,0,0,0,0,0
218,7,8,4,2,0,3,1,1,0,0
219,3,5,4,1,0,0,0,0,0,0
220,7,13,8,5,2,2,1,0,1,0
221,7,5,4,4,0,0,1,1,0,0
222,3,3,4,2,0,0,0,0,0,0
223,8,10,11,6,0,2,1,2,0,0
224,3,3,1,1,0,0,0,0,0,0
225,2,5,6,1,0,0,0,1,0,0
226,0,1,0,0,0,0,0,0,0,0
227,29,28,25,14,3,3,0,1,0,0
228,2,3,5,3,2,2,1,0,0,0
229,3,3,14,8,1,1,1,0,0,0
230,3,4,6,0,0,0,0,0,0,0
231,8,9,5,5,0,0,0,1,0,0
232,28,10,26,2,0,2,1,0,0,0
233,3,1,3,0,0,0,0,0,0,0
234,19,10,13,6,0,2,1,0,0,1
235,6,1,2,1,0,0,0,0,0,0
236,1,4,2,1,0,0,0,0,0,0
237,17,25,25,11,0,1,2,0,0,0
238,14,13,23,7,0,3,4,1,0,1
240,2,4,1,2,0,0,0,0,0,0
241,0,2,2,0,0,0,2,1,0,0
242,7,10,16,12,4,4,2,1,0,0
243,1,0,1,0,0,0,0,3,0,0
244,13,6,9,8,3,3,2,0,0,0
245,3,2,2,1,0,0,0,0,0,0
246,20,19,9,6,4,4,3,0,0,0
247,1,0,0,0,0,0,0,0,0,0
248,,,,,,0,0,0,0,0
249,0,1,0,1,0,0,0,0,0,0
250,14,13,17,6,0,1,1,0,0,0
251,10,13,5,5,0,0,2,0,1,0
252,4,2,2,2,0,3,0,0,0,0
253,7,3,1,2,0,0,0,0,0,0
254,1,0,0,0,0,0,0,0,0,0
255,2,3,3,2,0,0,1,0,0,1
256,9,12,8,3,1,1,1,2,0,0
257,6,15,11,1,0,0,0,0,0,0
258,35,24,18,11,0,2,1,2,0,0
259,23,18,20,8,0,1,1,1,1,1
260,19,16,17,6,0,1,1,1,0,0
261,4,6,8,1,1,1,0,0,0,0
262,13,7,14,2,1,1,2,0,0,0
263,2,9,3,0,0,0,0,1,0,0
264,7,6,4,0,0,1,0,0,0,0
265,5,6,12,1,0,0,1,0,0,1
266,18,13,20,2,0,4,2,0,0,0
267,22,19,15,2,0,0,2,3,0,1
268,16,6,19,8,1,1,0,0,0,0
269,6,2,4,1,0,0,0,2,0,0
270,,,,,,,,,0,
271,5,9,10,3,0,1,2,2,0,0
272,,,,,,,,,0,
273,24,17,28,12,0,1,1,0,1,0
274,,,,,,,,,0,
275,3,7,3,2,0,0,0,0,1,0
276,11,10,9,2,0,2,0,1,0,0
277,8,6,10,5,0,1,2,0,0,0
278,3,3,3,3,0,2,0,0,0,0
279,8,3,4,3,0,2,1,2,0,1
280,11,10,16,10,0,6,0,1,0,0
281,6,6,2,8,0,2,0,1,0,1
282,7,13,10,5,0,4,1,0,0,0
283,14,13,25,8,0,3,1,1,0,0
284,1,2,1,1,0,0,0,0,0,0
285,0,0,0,0,0,0,0,0,0,0
