id,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
371,14.0,13.0,12.0,30.0,32.0,19.0,17.0,21.0,32.0,28.0,20.0,40.0,36.0
372,45.0,30.0,42.0,38.0,37.0,25.0,40.0,41.0,54.0,44.0,66.0,65.0,69.0
373,37.0,32.0,38.0,33.0,52.0,39.0,40.0,58.0,58.0,62.0,57.0,56.0,59.0
374,27.0,12.0,13.0,13.0,11.0,25.0,15.0,36.0,27.0,22.0,20.0,26.0,25.0
375,32.0,46.0,37.0,61.0,55.0,59.0,71.0,545.0,56.0,53.0,72.0,61.0,63.0
376,4.0,6.0,8.0,6.0,2.0,8.0,7.0,12.0,9.0,13.0,13.0,12.0,22.0
377,7.0,11.0,8.0,3.0,6.0,9.0,24.0,49.0,26.0,20.0,23.0,28.0,24.0
378,58.0,48.0,81.0,89.0,84.0,117.0,102.0,93.0,111.0,91.0,99.0,100.0,738.0
379,43.0,50.0,33.0,53.0,51.0,49.0,45.0,58.0,53.0,57.0,74.0,59.0,49.0
380,60.0,48.0,61.0,66.0,65.0,66.0,75.0,66.0,98.0,72.0,86.0,99.0,75.0
381,24.0,17.0,31.0,41.0,39.0,36.0,34.0,41.0,20.0,29.0,39.0,28.0,39.0
382,22.0,19.0,30.0,22.0,16.0,35.0,40.0,34.0,41.0,28.0,33.0,28.0,25.0
383,15.0,7.0,7.0,16.0,27.0,23.0,23.0,25.0,32.0,39.0,49.0,42.0,32.0
385,15.0,8.0,17.0,17.0,20.0,26.0,20.0,10.0,17.0,27.0,30.0,34.0,29.0
386,16.0,10.0,14.0,33.0,44.0,50.0,48.0,55.0,46.0,49.0,49.0,33.0,25.0
387,3.0,7.0,7.0,12.0,10.0,7.0,12.0,10.0,7.0,11.0,14.0,26.0,14.0
388,6.0,9.0,17.0,25.0,39.0,41.0,34.0,23.0,33.0,33.0,27.0,27.0,26.0
389,11.0,13.0,16.0,9.0,26.0,31.0,49.0,48.0,40.0,44.0,65.0,41.0,41.0
390,1.0,4.0,4.0,6.0,6.0,5.0,2.0,10.0,7.0,14.0,11.0,5.0,10.0
391,26.0,25.0,27.0,24.0,39.0,36.0,29.0,39.0,48.0,44.0,51.0,58.0,46.0
392,114.0,113.0,162.0,187.0,188.0,156.0,182.0,149.0,157.0,147.0,208.0,167.0,159.0
393,30.0,33.0,48.0,52.0,86.0,68.0,62.0,76.0,96.0,76.0,92.0,107.0,79.0
394,10.0,5.0,8.0,12.0,27.0,14.0,21.0,22.0,20.0,27.0,23.0,17.0,12.0
395,13.0,4.0,61.0,4.0,12.0,5.0,10.0,8.0,8.0,9.0,14.0,15.0,6.0
396,13.0,5.0,13.0,12.0,12.0,18.0,11.0,12.0,14.0,19.0,24.0,25.0,27.0
397,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
398,3.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,2.0,1.0,10.0,2.0
399,5.0,6.0,5.0,9.0,10.0,6.0,5.0,7.0,5.0,8.0,10.0,13.0,9.0
400,31.0,16.0,22.0,26.0,24.0,14.0,26.0,24.0,23.0,25.0,30.0,19.0,22.0
401,20.0,12.0,10.0,14.0,10.0,5.0,12.0,11.0,6.0,10.0,10.0,12.0,12.0
402,19.0,2.0,7.0,8.0,12.0,14.0,9.0,14.0,12.0,12.0,11.0,14.0,13.0
403,9.0,10.0,17.0,17.0,20.0,16.0,16.0,12.0,25.0,66.0,26.0,27.0,20.0
404,4.0,2.0,6.0,4.0,7.0,4.0,2.0,3.0,5.0,10.0,12.0,15.0,16.0
405,8.0,8.0,5.0,4.0,6.0,11.0,6.0,6.0,8.0,12.0,13.0,15.0,12.0
406,15.0,9.0,13.0,8.0,16.0,27.0,19.0,9.0,13.0,26.0,30.0,21.0,17.0
407,7.0,6.0,9.0,7.0,10.0,12.0,10.0,18.0,7.0,15.0,16.0,8.0,67.0
408,17.0,11.0,61.0,13.0,17.0,19.0,27.0,17.0,23.0,13.0,22.0,24.0,22.0
409,27.0,18.0,36.0,43.0,40.0,36.0,38.0,34.0,26.0,54.0,64.0,51.0,35.0
410,0.0,2.0,3.0,8.0,5.0,6.0,6.0,13.0,10.0,4.0,9.0,9.0,9.0
411,2.0,2.0,4.0,1.0,5.0,2.0,2.0,3.0,1.0,6.0,6.0,10.0,2.0
412,0.0,2.0,2.0,4.0,3.0,1.0,6.0,6.0,6.0,11.0,10.0,6.0,8.0
413,31.0,15.0,18.0,16.0,29.0,13.0,17.0,22.0,12.0,29.0,29.0,35.0,46.0
416,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
417,1.0,3.0,6.0,12.0,9.0,6.0,7.0,6.0,10.0,8.0,6.0,5.0,9.0
418,8.0,17.0,15.0,20.0,13.0,17.0,18.0,13.0,21.0,11.0,11.0,13.0,19.0
419,16.0,12.0,18.0,15.0,7.0,17.0,13.0,15.0,16.0,11.0,18.0,12.0,16.0
420,9.0,10.0,17.0,12.0,9.0,14.0,12.0,11.0,11.0,12.0,16.0,9.0,16.0
421,6.0,8.0,7.0,4.0,4.0,3.0,12.0,7.0,12.0,7.0,12.0,3.0,10.0
422,2.0,3.0,2.0,2.0,4.0,3.0,4.0,8.0,4.0,8.0,4.0,5.0,9.0
423,9.0,6.0,8.0,5.0,22.0,8.0,19.0,18.0,23.0,15.0,33.0,47.0,42.0
424,16.0,15.0,13.0,20.0,45.0,55.0,24.0,19.0,21.0,18.0,28.0,29.0,25.0
425,6.0,9.0,3.0,5.0,3.0,7.0,8.0,7.0,9.0,8.0,9.0,11.0,20.0
426,15.0,3.0,5.0,4.0,10.0,9.0,10.0,6.0,10.0,11.0,6.0,14.0,7.0
428,9.0,1.0,4.0,6.0,4.0,8.0,6.0,7.0,13.0,7.0,13.0,7.0,13.0
430,2.0,3.0,5.0,31.0,18.0,18.0,5.0,6.0,11.0,4.0,4.0,14.0,4.0
431,6.0,6.0,6.0,5.0,8.0,6.0,9.0,6.0,3.0,10.0,9.0,11.0,5.0
432,6.0,16.0,12.0,13.0,17.0,8.0,14.0,10.0,14.0,10.0,14.0,21.0,21.0
433,12.0,4.0,7.0,10.0,6.0,7.0,7.0,4.0,5.0,8.0,14.0,11.0,9.0
434,21.0,20.0,26.0,23.0,25.0,23.0,25.0,28.0,27.0,29.0,59.0,68.0,57.0
435,5.0,6.0,2.0,2.0,2.0,2.0,4.0,6.0,12.0,11.0,6.0,4.0,9.0
436,4.0,3.0,5.0,6.0,3.0,3.0,3.0,3.0,3.0,4.0,8.0,3.0,5.0
